"2025 rates listed are subject to change until final on February 1, 2026",,,,,,,,,
CountyName,LocalUnitName,RevShareCode,City,VillageName,SchoolName,SchoolCode,TotalRate,HomesteadRate,NonHomesteadRate
Barry,Irving,081080,0,FREEPORT,THORNAPPLE KELLOGG SCH DIST,08050,39.7303,39.7303,57.7303
Barry,Johnstown,081090,0,,DELTON KELLOGG SCHOOL DIST,08010,24.0813,24.0813,42.0813
Barry,Johnstown,081090,0,,HASTINGS AREA SCHOOL DIST.,08030,25.9657,25.9657,43.5901
Barry,Johnstown,081090,0,,PENNFIELD SCHOOL DISTRICT,13120,39.4089,39.4089,57.4089
Barry,Johnstown,081090,0,,TR-PENNFIELD/fr HASTINGS,13123,26.8131,26.8131,26.8131
Barry,Johnstown,081090,0,,GULL LAKE COMMUNITY SCHOOLS,39065,33.0271,33.0271,51.0271
Barry,Maple Grove,081100,0,,HASTINGS AREA SCHOOL DIST.,08030,26.7887,26.7887,44.4131
Barry,Maple Grove,081100,0,,BELLEVUE COMM SCH DIST,23010,33.1452,33.1452,51.1452
Barry,Maple Grove,081100,0,,MAPLE VALLEY SCHOOL DISTRICT,23065,27.9414,27.9414,45.9414
Barry,Maple Grove,081100,0,NASHVILLE,MAPLE VALLEY SCHOOL DISTRICT,23065,39.6645,39.6645,57.6645
Barry,Orangeville,081110,0,,PLAINWELL COMMUNITY SCHOOLS,03010,31.3775,31.3775,49.3775
Barry,Orangeville,081110,0,,MARTIN PUBLIC SCHOOLS,03060,27.8275,27.8275,45.8275
Barry,Orangeville,081110,0,,DELTON KELLOGG SCHOOL DIST,08010,23.1414,23.1414,41.1414
Barry,Orangeville,081110,0,,THORNAPPLE KELLOGG SCH DIST,08050,32.7512,32.7512,50.7512
Barry,Prairieville,081120,0,,PLAINWELL COMMUNITY SCHOOLS,03010,32.2726,32.2726,50.2726
Barry,Prairieville,081120,0,,DELTON KELLOGG SCHOOL DIST,08010,24.0365,24.0365,42.0365
Barry,Prairieville,081120,0,,GULL LAKE COMMUNITY SCHOOLS,39065,32.9823,32.9823,50.9823
Barry,Rutland,081130,0,,HASTINGS AREA SCHOOL DIST.,08030,26.3231,26.3231,43.9475
Barry,Rutland,081130,0,,THORNAPPLE KELLOGG SCH DIST,08050,34.0485,34.0485,52.0485
Barry,Thornapple,081140,0,,THORNAPPLE KELLOGG SCH DIST,08050,32.8528,32.8528,50.8528
Barry,Thornapple,081140,0,MIDDLEVILLE,THORNAPPLE KELLOGG SCH DIST,08050,45.0811,45.0811,63.0811
Barry,Thornapple,081140,0,,CALEDONIA COMMUNITY SCHOOLS,41050,30.2028,30.2028,48.2028
Barry,Woodland,081150,0,,HASTINGS AREA SCHOOL DIST.,08030,26.8812,26.8812,44.5056
Barry,Woodland,081150,0,,LAKEWOOD PUBLIC SCHOOLS,34090,25.1713,25.1713,43.1245
Barry,Woodland,081150,0,WOODLAND,LAKEWOOD PUBLIC SCHOOLS,34090,38.0877,38.0877,56.0409
Barry,Yankee Springs,081160,0,,WAYLAND UNION SCHOOLS,03040,27.7854,27.7854,45.7854
Barry,Yankee Springs,081160,0,,DELTON KELLOGG SCHOOL DIST,08010,21.6993,21.6993,39.6993
Barry,Yankee Springs,081160,0,,THORNAPPLE KELLOGG SCH DIST,08050,31.3091,31.3091,49.3091
Barry,Hastings,082010,1,,HASTINGS AREA SCHOOL DIST.,08030,38.5017,38.5017,56.1261
Bay,Bangor,091010,0,,BANGOR TOWNSHIP SCHOOLS,09030,34.7466,34.7466,52.7466
Bay,Beaver,091020,0,,BAY CITY SCHOOL DISTRICT,09010,34.2800,34.2800,52.2800
Bay,Beaver,091020,0,,PINCONNING AREA SCHOOLS,09090,33.9134,33.9134,51.6272
Bay,Frankenlust,091030,0,,BAY CITY SCHOOL DISTRICT,09010,32.4193,32.4193,50.4193
Bay,Frankenlust,091030,0,,FREELAND COMM SCHOOL DIST,73200,32.2726,32.2726,50.2726
Bay,Fraser,091040,0,,PINCONNING AREA SCHOOLS,09090,32.4995,37.4995,55.2133
Bay,Garfield,091050,0,,PINCONNING AREA SCHOOLS,09090,34.0694,34.0694,51.7832
Bay,Gibson,091060,0,,STANDISH STERLING COMM S/D,06050,29.9121,29.9121,47.9121
Bay,Gibson,091060,0,,PINCONNING AREA SCHOOLS,09090,30.4121,30.4121,48.1259
Bay,Hampton,091070,0,,BAY CITY SCHOOL DISTRICT,09010,36.8915,36.8915,54.8915
Bay,Hampton,091070,0,,ESSEXVILLE HAMPTON SCH DIST,09050,38.7851,38.7851,56.7851
Bay,Kawkawlin,091080,0,,BAY CITY SCHOOL DISTRICT,09010,31.8392,36.8392,54.8392
